学校	专业	所在学院	URL
宁德师范学院	网络与新媒体	语言与文化学院	http://wyx.ndnu.edu.cn/info/1051/1909.htm
中山大学新华学院	网络与新媒体	艺术设计与传媒学院	http://ysycm.xhsysu.edu.cn/info/1002/1220.htm
浙江传媒学院	网络与新媒体	文化创意学院	http://zsw.zjicm.edu.cn/yxdh/whcyxy.htm
北京电影学院	网络与新媒体	现代创意传媒学院	http://www.bfamcmc.edu.cn/info/1063/5144.htm
云南大学	网络与新媒体	新闻学院	http://zsb.ynu.edu.cn/info/1014/1554.htm
上海外国语大学	网络与新媒体	新闻传播学院	http://admissions.shisu.edu.cn/0f/16/c643a3862/page.htm
广东技术师范大学	网络与新媒体	文学与传媒学院	http://zs.gpnu.edu.cn/wxycmxy1/wlyxmt.htm
河南工业大学	网络与新媒体	新闻与传播学院	http://xwxy.haut.edu.cn/info/1019/2229.htm
武汉长江工商学院	网络与新媒体	文法学院	http://college.gaokao.com/school/tinfo/2536/schspe/50061/
中山大学南方学院	网络与新媒体	文学与传媒学院	http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
暨南大学	网络与新媒体	新闻与传播学院	https://xwxy.jnu.edu.cn/html/bks/zhuanyejianjie/2015/0923/293.html
深圳大学	网络与新媒体	新闻与传播学院	http://cmc.szu.edu.cn/Home/Default/CbDefault.html

